label,outcome,n_unweighted,weighted_mean_or_prevalence,ci95_low,ci95_high,overall_weighted_mean_or_prevalence,lift_vs_overall,unweighted_mean_or_prevalence,display_name
-1,albuminuria,447,0.1165177053134088,0.085746866828658,0.1536300080015055,0.1011184151096992,1.152289671342292,0.1476510067114094,Noise / outlier group
0,albuminuria,2998,0.0996020544419929,0.0877864287879675,0.11053598121611,0.1011184151096992,0.9850041096267051,0.1144096064042695,Lipid-prediabetes metabolic-risk tendency
1,albuminuria,2258,0.0918044794220521,0.0786361734147365,0.1041088646871455,0.1011184151096992,0.9078908062636982,0.1098317094774136,Lower-glycemic central-adiposity tendency
2,albuminuria,345,0.1597566811464611,0.1104961157472053,0.2004755294171843,0.1011184151096992,1.5798970046469536,0.1826086956521739,Higher blood-pressure / renal-risk tendency
-1,central_obesity,447,0.4126912165091408,0.3629517251355607,0.4654236758993899,0.5577904386595514,0.7398678570053938,0.4496644295302013,Noise / outlier group
0,central_obesity,2998,0.5453074954828783,0.5239351060394656,0.5686977504850814,0.5577904386595514,0.9776207293788124,0.5763842561707805,Lipid-prediabetes metabolic-risk tendency
1,central_obesity,2258,0.5980537813733676,0.5736350986704138,0.6204725305836731,0.5577904386595514,1.0721836373003717,0.6182462356067316,Lower-glycemic central-adiposity tendency
2,central_obesity,345,0.5851468803233367,0.5196624632439836,0.6494293765217996,0.5577904386595514,1.04904430009508,0.6289855072463768,Higher blood-pressure / renal-risk tendency
-1,ckd_risk,447,0.1382362418849069,0.1067549312043738,0.1792062227273516,0.1413140344251297,0.9782201919806246,0.1812080536912751,Noise / outlier group
0,ckd_risk,2998,0.1394618541325382,0.1265100512910101,0.1516852648770532,0.1413140344251297,0.9868931610358012,0.172114743162108,Lipid-prediabetes metabolic-risk tendency
1,ckd_risk,2258,0.1417089528269613,0.126960512985235,0.1565390108479974,0.1413140344251297,1.0027946155768477,0.1744906997342781,Lower-glycemic central-adiposity tendency
2,ckd_risk,345,0.1597566811464611,0.1104961157472053,0.2004755294171843,0.1413140344251297,1.130508245669701,0.1826086956521739,Higher blood-pressure / renal-risk tendency
-1,cvd_self_report,447,0.1007550852276659,0.0713350494828492,0.1360625379273843,0.0958673752749042,1.0509840802331962,0.1140939597315436,Noise / outlier group
0,cvd_self_report,2998,0.0998491960518049,0.0883166287098441,0.1122943912471902,0.0958673752749042,1.0415346802338397,0.1280853902601734,Lipid-prediabetes metabolic-risk tendency
1,cvd_self_report,2258,0.087142119700141,0.0752895097790813,0.0991784416357424,0.0958673752749042,0.9089861848231148,0.1226749335695305,Lower-glycemic central-adiposity tendency
2,cvd_self_report,345,0.1137399243244017,0.085262052452591,0.1495683089779625,0.0958673752749042,1.1864299403029146,0.1594202898550724,Higher blood-pressure / renal-risk tendency
